cod_id,path,formula,n_sites,n_species,volume,density,a,b,c,alpha,beta,gamma
1000387,data/raw/cif/1/00/03/1000387.cif,Nb2Tl2O7,88,4,1198.447161848,7.832106049626307,10.622,10.622,10.622,90.0,90.0,90.0
1000316,data/raw/cif/1/00/03/1000316.cif,NdNiO3,20,3,220.60858550850404,7.555191844311629,5.3836,5.3863,7.6078,90.0,90.0,90.0
1000388,data/raw/cif/1/00/03/1000388.cif,Ca11.2Tl8.8O24,44,3,619.0465518850078,7.058590389414449,11.248,16.51299,3.3329,90.0,90.0,90.0
1000317,data/raw/cif/1/00/03/1000317.cif,NdNiO3,20,3,220.45628544465401,7.560411274540016,5.3879,5.3797,7.6058,90.0,90.0,90.0
1000389,data/raw/cif/1/00/03/1000389.cif,Ba2Zn2ClF7,24,4,382.14204799867065,4.987707211386113,7.7,5.801,8.939,90.0,106.84999999999998,90.0
1000318,data/raw/cif/1/00/03/1000318.cif,NdNiO3,20,3,220.707972259656,7.551789674629908,5.3891,5.3816,7.6101,90.0,90.0,90.0
1000390,data/raw/cif/1/00/03/1000390.cif,Ba2Co2ClF7,24,4,380.7554909715387,4.892902095784238,7.692,5.783,8.945,90.0,106.88,90.0
1000319,data/raw/cif/1/00/03/1000319.cif,Ba3Ta2(OF6)2,38,4,637.600554010855,5.385061008484922,5.5063,5.5063,21.0295,90.0,90.0,90.0
1000391,data/raw/cif/1/00/03/1000391.cif,Ba2MnNiClF7,24,5,388.3984829686746,4.76040674095698,7.766,5.844,8.932,90.0,106.64000000000001,90.0
1000320,data/raw/cif/1/00/03/1000320.cif,Ba2CeC3O9F,32,5,433.6804972023552,4.700376225125983,13.365,5.097,6.638,90.0,106.45,90.0
1000392,data/raw/cif/1/00/03/1000392.cif,Ca4Tl2CO9,50,4,415.9967795755738,5.7886512747685686,4.77944,4.77944,18.21109,90.0,90.0,90.0
1000321,data/raw/cif/1/00/03/1000321.cif,BaCuCO3F2,48,5,400.27187554799997,4.9596266853972795,4.889,8.539,9.588,90.0,90.0,90.0
1000393,data/raw/cif/1/00/03/1000393.cif,Ba3TaOF9,64,4,934.6352407753018,5.542600832736468,5.9422,26.39499,5.959,90.0,90.0,90.0
1000322,data/raw/cif/1/00/03/1000322.cif,Ga4P3H2(O8F)2,216,5,3421.9618465500002,2.592513246990521,13.455,13.455,18.902,90.0,90.0,90.0
1000394,data/raw/cif/1/00/03/1000394.cif,BaCuCO3F2,32,5,399.45043563720003,4.969825786308397,4.8866,8.531,9.582,90.0,90.0,90.0
1000323,data/raw/cif/1/00/03/1000323.cif,Ba10FeCu12F47,166,4,1995.9132759611277,5.13257315035275,15.447,11.638,11.809,90.0,109.92,90.0
1000395,data/raw/cif/1/00/03/1000395.cif,KGdCO3F2,128,5,1712.77400704914,4.566032185996892,7.006,11.181,21.86499,90.0,90.0,90.0
1000324,data/raw/cif/1/00/03/1000324.cif,Ba4Nb2(OF4)3,252,4,4053.620449608964,4.970284925365319,22.672,13.075,14.996,90.0,114.234,90.0
1000396,data/raw/cif/1/00/03/1000396.cif,Zr(WO4)2,44,3,767.216826439336,5.081061924258784,9.1546,9.1546,9.1546,90.0,90.0,90.0
1000325,data/raw/cif/1/00/03/1000325.cif,K2FeF5,64,3,969.4582090598581,3.1384067010611147,7.3591,23.0897,5.7054,90.0,90.0,90.0
1000397,data/raw/cif/1/00/03/1000397.cif,Ba5Cu4ClF17,81,4,1276.7996851827675,5.069190255593575,10.731,10.731,12.803,90.0,90.0,119.99999999999999
1000326,data/raw/cif/1/00/03/1000326.cif,Li4ZnIn2F12,40,4,423.2667319339201,4.321662802311241,4.7496,17.606,5.0617,90.0,90.0,90.0
1000398,data/raw/cif/1/00/03/1000398.cif,Na2Sr7Al6F34,98,4,1238.2211372003417,3.935108615513583,16.07199,10.822,7.258,90.0,101.23,90.0
1000327,data/raw/cif/1/00/03/1000327.cif,TaBi(P2O7)2,40,4,562.1284102770001,4.359041426042385,8.253,8.253,8.253,90.0,90.0,90.0
1000399,data/raw/cif/1/00/03/1000399.cif,Ba7Ga6(O9F8)2,94,4,1426.3973495348237,4.5904506276637544,16.90799,11.406,7.542,90.0,101.28,90.0
1000328,data/raw/cif/1/00/03/1000328.cif,Ta3.596P7.608O28,40,3,533.214439029,4.15534649899839,8.109,8.109,8.109,90.0,90.0,90.0
1000329,data/raw/cif/1/00/03/1000329.cif,Ba3AlF9,52,3,833.5883284800001,4.860158077456368,10.063,5.567,14.88,90.0,90.0,90.0
1000330,data/raw/cif/1/00/03/1000330.cif,Ba2YC2(O2F)3,56,5,776.579752836,4.623568150910428,9.458,6.966,11.787,90.0,90.0,90.0
1000331,data/raw/cif/1/00/03/1000331.cif,Ba2GdC2(O2F)3,56,5,787.552654896,5.1355574913489885,9.513,6.978,11.864,90.0,90.0,90.0
1000332,data/raw/cif/1/00/03/1000332.cif,BaTiOF4,28,4,392.54771632901,4.690180021486601,5.1719,13.7555,5.5178,90.0,90.0,90.0
1000333,data/raw/cif/1/00/03/1000333.cif,Li2P2PdO7,48,4,548.24811824124,3.5648520448475285,12.5858,7.4955,5.8116,90.0,90.0,90.0
1000334,data/raw/cif/1/00/03/1000334.cif,Li2TiTeO6,20,4,209.35042356682303,4.526641759436067,5.0743,4.9067,8.4083,90.0,90.0,90.0
1000337,data/raw/cif/1/00/03/1000337.cif,Na2P2PdO7,48,4,622.0676418888222,3.484541144102272,14.693,5.8551,7.922,90.0,114.11,90.0
1000338,data/raw/cif/1/00/03/1000338.cif,Ba3Na2Cr4F20,58,4,815.0725978408378,4.261655729914382,7.262,20.668,5.431,90.0,90.76,90.0
1000339,data/raw/cif/1/00/03/1000339.cif,KNbSi2O7,44,4,621.5464018137599,3.2077828362355656,8.7404,8.7404,8.136,90.0,90.0,90.0
1000340,data/raw/cif/1/00/03/1000340.cif,Na3Sr4Cr5F26,304,4,4059.4436025561918,3.8398505628865323,19.959,7.45,29.291,90.0,111.244,90.0
1000341,data/raw/cif/1/00/03/1000341.cif,Ba2TiOF6,40,4,619.4460691492706,4.8521537664937435,11.446,9.304,7.252,90.0,126.67000000000002,90.0
1000343,data/raw/cif/1/00/03/1000343.cif,Na3La2C4O12F,56,5,515.3950149372284,3.9037173554460933,5.083,5.083,23.034,90.0,90.0,119.99999999999999
1000344,data/raw/cif/1/00/03/1000344.cif,CrH12Pd(NO)4,88,5,818.70658327081,2.357113151242676,7.3177,7.3177,15.289,90.0,90.0,90.0
1000345,data/raw/cif/1/00/03/1000345.cif,Ba3V2(OF2)4,68,4,988.626691845,4.903539422155077,9.945,10.277,9.673,90.0,90.0,90.0
1000346,data/raw/cif/1/00/03/1000346.cif,V6Fe4(CuO8)3,37,4,461.85532575744486,3.9680353535158845,6.6000000000000005,8.047999999999998,9.759,106.08000000000001,103.72,102.27999999999999
1000347,data/raw/cif/1/00/03/1000347.cif,Nd4Ni3O8,30,3,388.30231767987,7.5354017758929,3.9171,3.9171,25.307,90.0,90.0,90.0
